Batsman,Dismissal,Runs,Balls,4s,6s,SR,
Ryan Rickelton (wk),c K Mayers b Alzarri Joseph,3,10,0,0,30.00
Tony de Zorzi,lbw b Akeal Hosein,21,22,3,0,95.45
Rassie van der Dussen,c K Mayers b Alzarri Joseph,14,8,3,0,175.00
Aiden Markram (c),c Shai Hope b K Mayers,25,26,3,1,96.15
Heinrich Klaasen,not out,119,61,15,5,195.08
David Miller,c and b Akeal Hosein,17,17,0,2,100.00
Marco Jansen,c Shamarh Brooks b Alzarri Joseph,43,33,5,2,130.30
Wayne Parnell,not out,4,4,1,0,100.00
Extras,18,"(b 0, lb 6, w 8, nb 4, p 0)"
Total,264,"(6 wkts, 29.3 Ov)"
Did not Bat,"Bjorn Fortuin , Gerald Coetzee , Lungi Ngidi"
Alzarri Joseph,8,0,50,3,0,6,6.20
Jason Holder,7,1,66,0,2,1,9.40
Kyle Mayers,2,0,12,1,0,1,6.00
Odean Smith,2,0,32,0,2,0,16.00
Akeal Hosein,7,0,49,2,0,0,7.00
Yannic Cariah,3.3,0,49,0,0,0,14.00
